조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,경기도 광주시,조미채소계,대파,1500,6,2980
2015,경기도 동두천시,조미채소계,대파,3308,6.6,7160
2015,경기도 여주시,엽채류,쑥갓,15848,11.6,30744
2015,경기도 포천시,엽채류,쑥갓,113336,19.2,246960
2015,경기도 의왕시,조미채소계,대파,4550,8.7,17120
2015,경기도 화성시,엽채류,가을배추,1480,27.9,13800
2015,경기도 여주시,과채류계,딸기,10769,13.4,25272
2015,경기도 파주시,엽채류,봄배추,15000,13.6,68500
2015,경기도 김포시,과채류계,가지,5500,13,23800
2015,경기도 남양주시,엽채류,상추,68425,65.2,215682
2015,경기도 안양시,엽채류,시금치,6500,4.5,10000
2015,경기도 가평군,엽채류,상추,31100,16.4,129650
2015,경기도 고양시,조미채소계,고추,25595,3.8,6511
2015,경기도 이천시,양채류계,적채,9863,7.2,23640
2015,경기도 파주시,엽채류,상추,4200,7.7,10650
2015,경기도 고양시,엽채류,가을배추,23737,45.5,118646.91
2015,경기도 양평군,근채류계,열무,81400,14,369000
2015,경기도 고양시,양채류계,케일,12250,7.4,30250
2015,경기도 양주시,엽채류,부추,13100,10.7,46885
2015,경기도 파주시,과채류계,토마토,28840,33,117360
2015,경기도 여주시,양채류계,결구상추,8764,9.3,27100
2015,경기도 수원시,과채류계,호박,1712,7,12000
2015,경기도 성남시,과채류계,오이,16468,36.9,68900
2015,경기도 안양시,엽채류,상추,10000,8.7,14500
2015,경기도 남양주시,과채류계,풋고추,12864,24.1,35350
2015,경기도 안양시,조미채소계,쪽파,5000,6,10000
2015,경기도 부천시,과채류계,토마토,46770,56.2,120565
2015,경기도 김포시,조미채소계,고추,9114,3.6,2177
2015,경기도 포천시,근채류계,열무,791130,50,2016500
2015,경기도 동두천시,엽채류,가을배추,9564,19.6,30310
2015,경기도 이천시,양채류계,샐러리,15035,4.2,21050
2015,경기도 연천군,과채류계,오이,69623,149.3,491600
2015,경기도 성남시,양채류계,파세리,14684,12.7,30900
2015,경기도 남양주시,과채류계,딸기,6800,7.5,17090
2015,경기도 안성시,조미채소계,고추,2644,0.8,670
2015,경기도 과천시,엽채류,상추,7000,17.3,17300
2015,경기도 여주시,과채류계,토마토,27244,70.7,166779
2015,경기도 광주시,엽채류,시금치,4200,19.9,8685
2015,경기도 파주시,조미채소계,쪽파,1420,7.2,3420
2015,경기도 평택시,과채류계,수박,3000,8.3,12850
2015,경기도 양평군,과채류계,수박,9580,31.9,52500
2015,경기도 고양시,과채류계,오이,35413,31.2,84931.82
2015,경기도 안성시,과채류계,오이,155847,251.5,1362476
2015,경기도 평택시,엽채류,시금치,1975,7.4,4900
2015,경기도 화성시,과채류계,오이,11780,37.4,75900
2015,경기도 화성시,엽채류,시금치,1400,5.9,2745
2015,경기도 남양주시,과채류계,토마토,5610,3.2,17900
2015,경기도 이천시,과채류계,오이,114825,90.8,651805
2015,경기도 수원시,엽채류,얼갈이배추,16910,22.8,64040
2015,경기도 성남시,엽채류,가을배추,3600,29,34800
2015,경기도 군포시,과채류계,호박,3000,15,15000
2015,경기도 가평군,과채류계,풋고추,5040,3.7,6201
2015,경기도 양평군,과채류계,가지,660,9.1,1956
2015,경기도 광명시,과채류계,토마토,121509,9.6,484691
2015,경기도 이천시,과채류계,수박,27900,16,110090
2015,경기도 과천시,과채류계,오이,5000,23.6,23590
2015,경기도 김포시,엽채류,쑥갓,3000,1.7,5000
2015,경기도 화성시,조미채소계,대파,1980,21.6,6100
2015,경기도 양평군,과채류계,오이,9310,28.3,43000
2015,경기도 과천시,과채류계,풋고추,4000,9.2,9190
2015,경기도 포천시,조미채소계,대파,118374,19.8,300850
2015,경기도 수원시,엽채류,상추,51000,52.1,167670
2015,경기도 고양시,근채류계,열무,144783,98,582663.09
2015,경기도 양주시,조미채소계,마늘,2000,0.6,1170
2015,경기도 남양주시,과채류계,오이,25844,31.4,97447
2015,경기도 동두천시,엽채류,봄배추,5127,7.8,13403
2015,경기도 이천시,과채류계,풋고추,108778,28,217556
2015,경기도 여주시,과채류계,풋고추,12090,18,36142
2015,경기도 광주시,엽채류,봄배추,38070,57.4,116930
2015,경기도 남양주시,엽채류,부추,63337,48.9,197216
2015,경기도 과천시,엽채류,부추,1000,3,3000
2015,경기도 성남시,양채류계,적채,6400,9,19300
2015,경기도 평택시,엽채류,가을배추,33038,69.7,278573
2015,경기도 성남시,조미채소계,쪽파,7346,5.9,14500
2015,경기도 김포시,과채류계,오이,5000,13.5,22500
2015,경기도 화성시,엽채류,봄배추,990,13,4300
2015,경기도 포천시,양채류계,케일,660,2.4,1600
2015,경기도 양평군,엽채류,시금치,3860,8.3,5305
2015,경기도 파주시,과채류계,참외,16909,15.6,42650
2015,경기도 남양주시,조미채소계,고추,6212,1.6,3249
2015,경기도 화성시,과채류계,풋고추,5044,18,14840
2015,경기도 고양시,양채류계,적채,11210,8.1,30340
2015,경기도 고양시,과채류계,파프리카,7122,40.9,100000
2015,경기도 광명시,양채류계,샐러리,700,2.5,1750
2015,경기도 부천시,과채류계,호박,4000,11.8,15750
2015,경기도 여주시,과채류계,참외,13474,14.7,32771
2015,경기도 양주시,양채류계,결구상추,4000,8.1,10700
2015,경기도 화성시,엽채류,쑥갓,9100,6.2,18800
2015,경기도 광주시,조미채소계,고추,16549,0.7,3973
2015,경기도 시흥시,엽채류,상추,9650,2.7,26500
2015,경기도 오산시,과채류계,토마토,12032,18.6,75300
2015,경기도 여주시,양채류계,꽃양배추,4759,5,7940
2015,경기도 평택시,엽채류,봄배추,1000,6.6,6590
2015,경기도 양평군,과채류계,풋고추,6388,42.6,14268
2015,경기도 여주시,조미채소계,고추,4651,0.8,1250
2015,경기도 양주시,조미채소계,대파,3800,4.9,9555
2015,경기도 이천시,과채류계,가지,67070,83.3,375940
2015,경기도 안성시,과채류계,토마토,32578,28.1,127100
2015,경기도 이천시,조미채소계,쪽파,3850,6.1,7700
2015,경기도 광명시,양채류계,케일,2350,2.6,6000
2015,경기도 양주시,엽채류,쑥갓,5300,5.5,10044
2015,경기도 수원시,엽채류,부추,8900,8.6,18460
