year,purpose,model,type,district,size,value
2014,non-purpose,saloon,normal,Seoul,light,22.7
2014,non-purpose,saloon,normal,Seoul,small,20.4
2014,non-purpose,saloon,normal,Seoul,mid,28.4
2014,non-purpose,saloon,normal,Seoul,large,33.6
2014,non-purpose,saloon,normal,Busan,light,24.2
2014,non-purpose,saloon,normal,Busan,small,22.1
2014,non-purpose,saloon,normal,Busan,mid,31.4
2014,non-purpose,saloon,normal,Busan,large,36.9
2014,non-purpose,saloon,normal,Daegu,light,22.5
2014,non-purpose,saloon,normal,Daegu,small,21.9
2014,non-purpose,saloon,normal,Daegu,mid,31.9
2014,non-purpose,saloon,normal,Daegu,large,38.4
2014,non-purpose,saloon,normal,Incheon,light,23.5
2014,non-purpose,saloon,normal,Incheon,small,22
2014,non-purpose,saloon,normal,Incheon,mid,31.7
2014,non-purpose,saloon,normal,Incheon,large,38.5
2014,non-purpose,saloon,normal,Gwangju,light,22.8
2014,non-purpose,saloon,normal,Gwangju,small,22.8
2014,non-purpose,saloon,normal,Gwangju,mid,33.2
2014,non-purpose,saloon,normal,Gwangju,large,39.5
2014,non-purpose,saloon,normal,Daejeon,light,22.1
2014,non-purpose,saloon,normal,Daejeon,small,21.6
2014,non-purpose,saloon,normal,Daejeon,mid,32.1
2014,non-purpose,saloon,normal,Daejeon,large,38.2
2014,non-purpose,saloon,normal,Ulsan,light,23.2
2014,non-purpose,saloon,normal,Ulsan,small,22.9
2014,non-purpose,saloon,normal,Ulsan,mid,31.5
2014,non-purpose,saloon,normal,Ulsan,large,36.8
2014,non-purpose,saloon,multipurpose,Seoul,mid,37.1
2014,non-purpose,saloon,multipurpose,Seoul,large,37.2
2014,non-purpose,saloon,multipurpose,Busan,mid,39.4
2014,non-purpose,saloon,multipurpose,Busan,large,39.1
2014,non-purpose,saloon,multipurpose,Daegu,mid,40.4
2014,non-purpose,saloon,multipurpose,Daegu,large,40.9
2014,non-purpose,saloon,multipurpose,Incheon,mid,38.9
2014,non-purpose,saloon,multipurpose,Incheon,large,39.2
2014,non-purpose,saloon,multipurpose,Gwangju,mid,40.7
2014,non-purpose,saloon,multipurpose,Gwangju,large,40.9
2014,non-purpose,saloon,multipurpose,Daejeon,mid,40.3
2014,non-purpose,saloon,multipurpose,Daejeon,large,40.5
2014,non-purpose,saloon,multipurpose,Ulsan,mid,37.3
2014,non-purpose,saloon,multipurpose,Ulsan,large,38
2014,non-purpose,van,normal,Seoul,small,37.7
2014,non-purpose,van,normal,Seoul,mid,40.5
2014,non-purpose,van,normal,Seoul,large,48.9
2014,non-purpose,van,normal,Busan,small,40.4
2014,non-purpose,van,normal,Busan,mid,41.1
2014,non-purpose,van,normal,Busan,large,57.7
2014,non-purpose,van,normal,Daegu,small,36.7
2014,non-purpose,van,normal,Daegu,mid,41.1
2014,non-purpose,van,normal,Daegu,large,51
2014,non-purpose,van,normal,Incheon,small,37
2014,non-purpose,van,normal,Incheon,mid,41
2014,non-purpose,van,normal,Incheon,large,42.4
2014,non-purpose,van,normal,Gwangju,small,38.9
2014,non-purpose,van,normal,Gwangju,mid,41.4
2014,non-purpose,van,normal,Gwangju,large,53.1
2014,non-purpose,van,normal,Daejeon,small,37
2014,non-purpose,van,normal,Daejeon,mid,42.6
2014,non-purpose,van,normal,Daejeon,large,41
2014,non-purpose,van,normal,Ulsan,small,38.6
2014,non-purpose,van,normal,Ulsan,mid,39.6
2014,non-purpose,van,normal,Ulsan,large,59.8
2014,non-purpose,lorry,normal,Seoul,small,44.5
2014,non-purpose,lorry,normal,Seoul,mid,41.6
2014,non-purpose,lorry,normal,Seoul,large,65.3
2014,non-purpose,lorry,normal,Busan,small,44.3
2014,non-purpose,lorry,normal,Busan,mid,41.7
2014,non-purpose,lorry,normal,Busan,large,57.3
2014,non-purpose,lorry,normal,Daegu,small,45.1
2014,non-purpose,lorry,normal,Daegu,mid,45.8
2014,non-purpose,lorry,normal,Daegu,large,64.1
2014,non-purpose,lorry,normal,Incheon,small,43.3
2014,non-purpose,lorry,normal,Incheon,mid,40.1
