"date","count"
20140101,111
20140102,223
20140103,292
20140104,114
20140105,39
20140106,106
20140107,252
20140108,128
20140109,65
20140110,47
20140111,43
20140112,75
20140113,36
20140114,63
20140115,195
20140116,779
20140117,1450
20140118,245
20140119,239
20140120,414
20140121,316
20140122,484
20140123,218
20140124,343
20140125,402
20140126,117
20140127,127
20140128,145
20140129,106
20140130,65
20140131,39
20140201,61
20140202,51
20140203,87
20140204,103
20140205,125
20140206,107
20140207,84
20140208,64
20140209,53
20140210,64
20140211,66
20140212,94
20140213,55
20140214,30
20140215,72
20140216,50
20140217,56
20140218,30
20140219,65
20140220,112
20140221,190
20140222,380
20140223,635
20140224,1887
20140225,3963
20140226,3455
20140227,2723
20140228,1850
20140301,810
20140302,999
20140303,616
20140304,452
20140305,310
20140306,289
20140307,201
20140308,148
20140309,168
20140310,162
20140311,180
20140312,267
20140313,191
20140314,168
20140315,559
20140316,2227
20140317,1778
20140318,1052
20140319,640
20140320,582
20140321,455
20140322,335
20140323,447
20140324,300
20140325,368
20140326,654
20140327,639
20140328,828
20140329,391
20140330,248
20140331,315
20140401,514
20140402,334
20140403,303
20140404,285
20140405,180
20140406,146
20140407,254
20140408,265
20140409,286
20140410,306
20140411,231
20140412,159
20140413,177
20140414,297
20140415,681
20140416,1434
20140417,416
20140418,276
20140419,161
20140420,184
20140421,290
20140422,235
20140423,307
20140424,438
20140425,305
20140426,168
20140427,171
20140428,170
20140429,313
20140430,379
20140501,115
20140502,132
20140503,66
20140504,60
20140505,72
20140506,60
20140507,144
20140508,57
20140509,74
20140510,39
20140511,60
20140512,73
20140513,130
20140514,118
20140515,101
20140516,141
20140517,83
20140518,73
20140519,122
20140520,108
20140521,99
20140522,118
20140523,131
20140524,104
20140525,75
20140526,180
20140527,556
20140528,451
20140529,292
20140530,161
20140531,121
20140601,77
20140602,145
20140603,66
20140604,70
20140605,62
20140606,41
20140607,46
20140608,67
20140609,57
20140610,69
20140611,137
20140612,67
20140613,56
20140614,43
20140615,31
20140616,63
20140617,122
20140618,86
